"asset_id"	"relative_path"	"file_name"	"file_ext"	"kb_id"	"review_status"	"import_enabled"	"metadata_only"	"file_size"	"sha1"	"notes"
"orig_c1883afe1701"	"process_digital_dept/oncall_sre_guides/github_repo_5_aws_incident_response_runbooks.pdf"	"github_repo_5_aws_incident_response_runbooks.pdf"	"pdf"	"process_digital_dept"	"approved"	"true"	"false"	"1288107"	"4b62fd64ee0be2412a78a917a5bb8e52e75945ce"	"S4-P1.7 owner approved 2026-06-10; scope=oncall/sre/incident_response; long_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_22fedcb5a715"	"process_digital_dept/oncall_sre_guides/github_repo_6_scoutflo_sre_playbooks.pdf"	"github_repo_6_scoutflo_sre_playbooks.pdf"	"pdf"	"process_digital_dept"	"approved"	"true"	"false"	"932507"	"4a0a8b98fc2d1a9cbd61a8614efec1e33899e921"	"S4-P1.7 owner approved 2026-06-10; scope=oncall/sre/playbooks; medium_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_ffce54de3f55"	"process_digital_dept/oncall_sre_guides/online_handbook_1_pagerduty_incident_response_documentation.pdf"	"online_handbook_1_pagerduty_incident_response_documentation.pdf"	"pdf"	"process_digital_dept"	"approved"	"true"	"false"	"84989"	"dc8922fe63599e9e7ccb649017100d5ab7acee4b"	"S4-P1.7 owner approved 2026-06-10; scope=incident_response; short_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_a08e8b7fa266"	"process_digital_dept/oncall_sre_guides/pdf_2__un_reliability_budgets.pdf"	"pdf_2__un_reliability_budgets.pdf"	"pdf"	"process_digital_dept"	"approved"	"true"	"false"	"174176"	"1b0f815d8288e7bf422f6aa57c58aeaa2cc25201"	"S4-P1.7 owner approved 2026-06-10; scope=sre/reliability_budget; short_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_d9bb94a4ab05"	"process_digital_dept/oncall_sre_guides/pdf_3_capacity_planning.pdf"	"pdf_3_capacity_planning.pdf"	"pdf"	"process_digital_dept"	"approved"	"true"	"false"	"478422"	"a671ffe66e6ba2bbd82e2f1743aaaac69b0c6306"	"S4-P1.7 owner approved 2026-06-10; scope=capacity_planning; short_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_c2040c815378"	"process_digital_dept/oncall_sre_guides/pdf_7_systems_performance__enterprise_and_the_cloud___cp.pdf"	"pdf_7_systems_performance__enterprise_and_the_cloud___cp.pdf"	"pdf"	"process_digital_dept"	"approved"	"true"	"false"	"1980848"	"85b77171c49baf81230f261ab6360a301de05276"	"S4-P1.7 owner approved 2026-06-10; scope=performance_tuning; medium_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
