"asset_id"	"relative_path"	"kb_id"	"review_status"	"import_enabled"	"metadata_only"	"notes"
"orig_c1883afe1701"	"process_digital_dept/oncall_sre_guides/github_repo_5_aws_incident_response_runbooks.pdf"	"process_digital_dept"	"approved"	"true"	"false"	"S4-P1.7 owner approved 2026-06-10; scope=oncall/sre/incident_response; long_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_22fedcb5a715"	"process_digital_dept/oncall_sre_guides/github_repo_6_scoutflo_sre_playbooks.pdf"	"process_digital_dept"	"approved"	"true"	"false"	"S4-P1.7 owner approved 2026-06-10; scope=oncall/sre/playbooks; medium_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_ffce54de3f55"	"process_digital_dept/oncall_sre_guides/online_handbook_1_pagerduty_incident_response_documentation.pdf"	"process_digital_dept"	"approved"	"true"	"false"	"S4-P1.7 owner approved 2026-06-10; scope=incident_response; short_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_a08e8b7fa266"	"process_digital_dept/oncall_sre_guides/pdf_2__un_reliability_budgets.pdf"	"process_digital_dept"	"approved"	"true"	"false"	"S4-P1.7 owner approved 2026-06-10; scope=sre/reliability_budget; short_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_d9bb94a4ab05"	"process_digital_dept/oncall_sre_guides/pdf_3_capacity_planning.pdf"	"process_digital_dept"	"approved"	"true"	"false"	"S4-P1.7 owner approved 2026-06-10; scope=capacity_planning; short_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
"orig_c2040c815378"	"process_digital_dept/oncall_sre_guides/pdf_7_systems_performance__enterprise_and_the_cloud___cp.pdf"	"process_digital_dept"	"approved"	"true"	"false"	"S4-P1.7 owner approved 2026-06-10; scope=performance_tuning; medium_pdf; defaults unchanged: dense_only/rewrite_off/rerank_false"
